PDGnumb,PosX,PosY,PosZ,Momentum[GeV],theta,phi
13,-302.092,9.55663,1400,22.1987,2.19851,2.28404
13,218.569,-63.1165,1400,0.316979,2.64253,2.39852
13,360.424,15.8217,1400,3.36987,3.04041,0.388514
13,-351.194,99.3022,1400,33.2874,2.26892,3.95131
13,-311.662,33.1389,1400,1.04593,2.70364,3.13771
13,-306.993,-228.128,1400,0.430555,2.82766,1.97264
13,-275.153,-434.423,1400,6.17267,2.83107,3.80712
-13,222.103,81.8151,1400,0.537861,2.35435,1.35058
13,-109.835,-415.456,1400,9.13813,2.77629,3.01632
13,-93.4592,-495.686,1400,14.2419,2.42919,0.724002
-13,-303.656,34.0837,1400,0.806382,2.94617,3.17774
-13,-140.973,-378.414,1400,2.37111,2.71235,2.02401
13,434.931,208.485,1400,0.995413,2.8463,1.10766
-13,357.958,-31.9547,1400,4.82057,2.02001,6.03554
13,-369.438,-308.772,1400,0.313348,2.53244,3.02449
13,-306.311,-135.631,1400,2.46697,2.89093,0.368267
-13,-232.532,434.258,1400,1.62256,2.37496,0.530629
-13,304.999,-50.4252,1400,2.90157,2.47662,0.396426
13,-162.474,-140.617,1400,0.322952,2.24715,2.67897
13,-390.713,228.823,1400,0.0521935,2.29757,4.34427
13,322.684,-356.063,1400,1.10974,2.29244,5.0658
-13,-317.269,193.558,1400,2.90955,2.21639,1.07686
13,-23.8904,-205.737,1400,0.793568,2.8888,1.54841
13,123.397,-163.527,1400,3.2959,2.53916,4.38586
-13,227.252,-448.781,1400,0.973854,1.97519,2.62315
13,-119.875,347.434,1400,4.38473,2.61461,4.69567
13,-76.2366,456.065,1400,1.69694,2.66588,5.67824
-13,266.993,-67.4942,1400,1.12384,2.1451,1.17694
13,125.617,-301.747,1400,1.97296,2.97902,2.4146
13,-373.836,-461.226,1400,16.7482,2.15602,1.59165
13,155.498,-133.164,1400,8.65179,2.07352,5.46207
-13,181.775,-420.237,1400,2.08824,2.33395,3.43028
13,128.695,100.575,1400,1.60539,2.51553,4.6441
13,140.82,-498.603,1400,19.1616,2.42583,1.68248
-13,68.8075,-72.3629,1400,2.51867,2.31217,4.30151
13,-202.161,-439.339,1400,0.393788,2.95001,5.61089
13,426.392,18.2345,1400,3.18284,2.21182,5.25423
13,-417.493,-375.239,1400,10.333,2.57596,2.66883
13,-281.231,-455.115,1400,0.200742,2.38266,3.26072
-13,-319.682,-454.816,1400,1.02308,2.5177,1.07629
13,-143.149,337.949,1400,0.462887,2.57023,4.40378
13,242.922,12.8506,1400,0.172736,2.13693,5.02316
