event_no,PDGnumb,PosX,PosY,PosZ,time,volume_ref,volume_no
7690,-13,-344.484,-241.526,1200.5,2.14492,1,2
7690,-13,-344.383,-241.367,1200.17,2.14866,1,2
7690,-13,-344.297,-241.251,1199.91,2.15193,1,2
7690,-13,-344.237,-241.145,1199.72,2.15478,1,2
7690,-13,-344.202,-241.066,1199.58,2.15614,1,2
7690,-13,-344.197,-241.047,1199.53,2.15617,1,2
7690,-13,-344.197,-241.047,1199.53,2.15617,1,2
7691,13,-131.933,109.228,1300.5,0.717034,1,4
7691,13,-56.1262,52.7177,1250.5,1.07382,1,3
7691,13,19.7016,-3.80255,1200.5,1.43068,1,2
7691,13,95.5393,-60.3169,1150.5,1.78754,1,1
7691,13,171.384,-116.839,1100.5,2.14444,1,0
7692,13,111.97,-31.6504,1300.5,0.367768,1,4
7692,13,122.224,-50.5089,1250.5,0.550647,1,3
7692,13,132.465,-69.4555,1200.5,0.733625,1,2
7692,13,142.726,-88.3766,1150.5,0.916584,1,1
7692,13,153.064,-107.21,1100.5,1.09949,1,0
7694,-13,63.2858,205.951,1300.5,0.38707,1,4
7694,-13,86.3264,202.018,1250.5,0.579543,1,3
7694,-13,109.548,198.104,1200.5,0.772298,1,2
7694,-13,132.621,194.017,1150.5,0.964896,1,1
7694,-13,155.696,190.179,1100.5,1.15746,1,0
7695,13,-497.58,-262.511,1300.5,0.358587,1,4
7696,13,422.813,340.068,1300.5,0.410063,1,4
7696,13,388.256,338.329,1250.5,0.614086,1,3
7696,13,353.588,336.442,1200.5,0.818341,1,2
7696,13,318.782,334.425,1150.5,1.02288,1,1
7696,13,283.92,332.402,1100.5,1.22752,1,0
7697,-13,374.209,-435.022,1300.5,0.46584,1,4
7697,-13,401.991,-405.612,1250.5,0.698678,1,3
7697,-13,429.336,-376.395,1200.5,0.930553,1,2
7697,-13,456.988,-346.572,1150.5,1.16403,1,1
7697,-13,485.119,-315.986,1100.5,1.39961,1,0
7699,13,429.495,-148.199,1300.5,0.359057,1,4
7699,13,429.718,-148.115,1299.89,0.36046,1,4
7699,13,447.736,-141.289,1250.5,0.539762,1,3
7699,13,465.998,-134.408,1200.5,0.716495,1,2
7699,13,466.101,-134.37,1200.22,0.719077,1,2
